"Brnd_Name","Year","Tot_Spndng"
Adalimumab-Adbm(Cf)pen,"2025 (Q1-Q3)",2329046.2
Adalimumab-Fkjp(Cf),"2024 (Q1-Q4)",31958.55
Adalimumab-Fkjp(Cf),"2025 (Q1-Q3)",54862.04
Adalimumab-Fkjp(Cf) Pen,"2024 (Q1-Q4)",182096.39
Adalimumab-Fkjp(Cf) Pen,"2025 (Q1-Q3)",300111.7
Adalimumab-Ryvk(Cf),"2025 (Q1-Q3)",56865.39
Adalimumab-Ryvk(Cf) Autoinject,"2024 (Q1-Q4)",45088.99
Adalimumab-Ryvk(Cf) Autoinject,"2025 (Q1-Q3)",894905.0
Adapalene,"2024 (Q1-Q4)",2591948.2
Adapalene,"2025 (Q1-Q3)",3327742.5
Adapalene-Benzoyl Peroxide,"2024 (Q1-Q4)",180352.17
Adapalene-Benzoyl Peroxide,"2025 (Q1-Q3)",113793.83
Adbry,"2024 (Q1-Q4)",49529248
Adbry,"2025 (Q1-Q3)",23385314
Adbry Autoinjector,"2024 (Q1-Q4)",4084239.8
Adbry Autoinjector,"2025 (Q1-Q3)",36096960
Adcetris,"2024 (Q1-Q4)",3521063.2
Adcetris,"2025 (Q1-Q3)",4622441.5
Adcirca,"2024 (Q1-Q4)",23825304
Adcirca,"2025 (Q1-Q3)",13671678
Adderall,"2024 (Q1-Q4)",9104851.0
Adderall,"2025 (Q1-Q3)",7470400.5
Adderall XR,"2024 (Q1-Q4)",12100754
Adderall XR,"2025 (Q1-Q3)",7866281.0
Adefovir Dipivoxil,"2024 (Q1-Q4)",2256588.5
Adefovir Dipivoxil,"2025 (Q1-Q3)",1444339.5
Adempas,"2024 (Q1-Q4)",694246784
Adempas,"2025 (Q1-Q3)",586825152
Adlarity,"2024 (Q1-Q4)",2514648.0
Adlarity,"2025 (Q1-Q3)",719517.44
Admelog,"2024 (Q1-Q4)",9842390.0
Admelog,"2025 (Q1-Q3)",8265833.0
Admelog Solostar,"2024 (Q1-Q4)",33991384
Admelog Solostar,"2025 (Q1-Q3)",31294256
Adrenalin,"2024 (Q1-Q4)",60692.11
Adrenalin,"2025 (Q1-Q3)",48684.85
Adstiladrin,"2024 (Q1-Q4)",1777878.8
Adstiladrin,"2025 (Q1-Q3)",5417471.5
Adthyza,"2024 (Q1-Q4)",128687.85
Adthyza,"2025 (Q1-Q3)",62911.95
Advair Diskus,"2024 (Q1-Q4)",71212976
Advair Diskus,"2025 (Q1-Q3)",19181228
Advair HFA,"2024 (Q1-Q4)",320587776
Advair HFA,"2025 (Q1-Q3)",172206416
Advocate Pen Needle,"2024 (Q1-Q4)",447693.88
Advocate Pen Needle,"2025 (Q1-Q3)",517911.16
Advocate Pen Needles,"2024 (Q1-Q4)",1831566.1
Advocate Pen Needles,"2025 (Q1-Q3)",1494503.0
Advocate Syringes,"2024 (Q1-Q4)",537597.5
Advocate Syringes,"2024 (Q1-Q4)",209429.84
Advocate Syringes,"2024 (Q1-Q4)",525271.0
Advocate Syringes,"2025 (Q1-Q3)",217023.06
Advocate Syringes,"2025 (Q1-Q3)",447359.7
Advocate Syringes,"2025 (Q1-Q3)",429502.25
Adzenys XR-ODT,"2024 (Q1-Q4)",1131273.6
Adzenys XR-ODT,"2025 (Q1-Q3)",817542.5
Adzynma,"2024 (Q1-Q4)",1664529.8
Adzynma,"2025 (Q1-Q3)",2848183.8
Aemcolo,"2024 (Q1-Q4)",2554.47
Afinitor,"2024 (Q1-Q4)",17726016
Afinitor,"2025 (Q1-Q3)",11210717
Afinitor Disperz,"2024 (Q1-Q4)",2791430.0
Afinitor Disperz,"2025 (Q1-Q3)",2912810.2
Afrezza,"2024 (Q1-Q4)",26879300
Afrezza,"2025 (Q1-Q3)",24074428
Agamree,"2024 (Q1-Q4)",698932.2
